season,venue,innings,batting_team,bowling_team,runs,batsmen,bowlers
8,Maharashtra Cricket Association Stadium,2,mum,Chennai Super Kings,50,2,4
8,Maharashtra Cricket Association Stadium,1,hyd,Rajasthan Royals,39,3,4
8,Sawai Mansingh Stadium,2,rr,Sunrisers Hyderabad,43,3,4
8,Sawai Mansingh Stadium,1,ban,Kolkata Knight Riders,40,2,4
8,ban,2,kol,Royal Challengers Bangalore,51,2,3
8,ban,1,che,Delhi Daredevils,56,2,4
8,Maharashtra Cricket Association Stadium,2,del,Chennai Super Kings,59,4,3
8,Maharashtra Cricket Association Stadium,1,ban,Mumbai Indians,43,2,4
8,ban,2,mum,Royal Challengers Bangalore,40,5,3
8,del,1,del,Rajasthan Royals,62,3,5
8,del,2,rr,Delhi Daredevils,79,2,5
8,kol,1,che,Kolkata Knight Riders,57,3,4
8,kol,2,kol,Chennai Super Kings,56,4,3
8,kol,1,pun,Mumbai Indians,49,2,3
8,Holkar Cricket Stadium,2,mum,Kings XI Punjab,39,3,4
8,Holkar Cricket Stadium,1,ban,Chennai Super Kings,47,3,3
8,Maharashtra Cricket Association Stadium,2,che,Royal Challengers Bangalore,42,3,3
8,hyd,1,del,Sunrisers Hyderabad,60,3,4
8,hyd,2,hyd,Delhi Daredevils,61,2,4
8,mum,1,mum,Kolkata Knight Riders,56,2,5
8,mum,2,kol,Mumbai Indians,47,4,3
8,mum,1,rr,Kings XI Punjab,45,4,4
8,Holkar Cricket Stadium,2,pun,Rajasthan Royals,34,4,4
8,hyd,1,hyd,Royal Challengers Bangalore,38,3,4
8,hyd,2,ban,Sunrisers Hyderabad,55,3,4
8,hyd,1,rr,Kings XI Punjab,63,3,4
8,Sawai Mansingh Stadium,2,pun,Rajasthan Royals,33,5,4
8,kol,1,mum,Kolkata Knight Riders,47,3,5
8,kol,2,kol,Mumbai Indians,47,4,4
8,del,1,del,Sunrisers Hyderabad,38,4,4
8,del,2,hyd,Delhi Daredevils,51,3,4
8,del,1,che,Rajasthan Royals,55,3,5
8,Sawai Mansingh Stadium,2,rr,Chennai Super Kings,57,4,4
8,Sawai Mansingh Stadium,1,kol,Kings XI Punjab,59,3,5
8,Holkar Cricket Stadium,2,pun,Kolkata Knight Riders,58,3,4
8,del,1,del,Royal Challengers Bangalore,44,4,3
8,del,2,ban,Delhi Daredevils,58,4,4
8,del,1,hyd,Chennai Super Kings,29,3,3
8,Maharashtra Cricket Association Stadium,2,che,Sunrisers Hyderabad,53,2,4
8,mum,1,mum,Rajasthan Royals,51,2,4
8,mum,2,rr,Mumbai Indians,51,3,4
8,mum,1,pun,Royal Challengers Bangalore,47,5,3
8,Holkar Cricket Stadium,2,ban,Kings XI Punjab,66,2,4
8,kol,1,rr,Kolkata Knight Riders,68,3,4
8,kol,2,kol,Rajasthan Royals,51,4,3
8,mum,1,mum,Kings XI Punjab,60,5,3
8,mum,2,pun,Mumbai Indians,57,3,4
8,mum,1,ban,Sunrisers Hyderabad,44,4,4
8,ban,2,hyd,Royal Challengers Bangalore,56,3,4
8,del,1,del,Chennai Super Kings,39,3,4
8,del,2,che,Delhi Daredevils,44,2,4
8,del,1,rr,Royal Challengers Bangalore,45,3,4
8,Sawai Mansingh Stadium,2,ban,Rajasthan Royals,55,3,4
8,hyd,1,hyd,Kolkata Knight Riders,60,2,5
8,hyd,2,kol,Sunrisers Hyderabad,66,3,4
8,del,1,del,Mumbai Indians,46,4,4
8,del,2,mum,Delhi Daredevils,57,3,5
8,del,1,pun,Chennai Super Kings,29,5,2
8,Maharashtra Cricket Association Stadium,2,che,Kings XI Punjab,33,5,3
8,mum,1,hyd,Chennai Super Kings,47,5,3
8,mum,2,che,Sunrisers Hyderabad,33,5,3
8,kol,1,kol,Rajasthan Royals,46,5,3
8,kol,2,rr,Kolkata Knight Riders,51,3,4
8,kol,1,hyd,Kolkata Knight Riders,45,2,4
8,kol,2,kol,Sunrisers Hyderabad,67,3,3
8,mum,1,hyd,Chennai Super Kings,42,3,3
8,mum,2,che,Sunrisers Hyderabad,35,3,2
9,del,1,mum,Delhi Capitals,57,2,4
9,del,2,del,Mumbai Indians,48,2,5
9,kol,1,ban,Kolkata Knight Riders,42,3,3
9,kol,2,kol,Royal Challengers Bangalore,37,5,3
9,kol,1,mum,Rajasthan Royals,46,3,5
9,Sawai Mansingh Stadium,2,rr,Mumbai Indians,60,3,5
9,del,1,pun,Delhi Capitals,50,4,3
9,del,2,del,Kings XI Punjab,60,3,5
9,hyd,1,kol,Sunrisers Hyderabad,61,4,4
9,hyd,2,hyd,Kolkata Knight Riders,72,2,5
9,hyd,1,ban,Chennai Super Kings,49,3,2
9,ban,2,che,Royal Challengers Bangalore,32,6,3
9,ban,1,rr,Delhi Capitals,52,2,3
9,Sawai Mansingh Stadium,2,del,Rajasthan Royals,59,2,5
9,che,1,hyd,Chennai Super Kings,54,3,2
9,che,2,che,Sunrisers Hyderabad,49,3,4
9,che,1,ban,Kings XI Punjab,70,3,2
9,ban,2,pun,Royal Challengers Bangalore,68,3,4
9,kol,1,kol,Rajasthan Royals,32,4,3
9,kol,2,rr,Kolkata Knight Riders,55,3,5
9,che,1,mum,Chennai Super Kings,45,3,2
9,che,2,che,Mumbai Indians,40,5,4
9,che,1,hyd,Rajasthan Royals,51,3,4
9,Sawai Mansingh Stadium,2,rr,Sunrisers Hyderabad,60,2,5
9,del,1,del,Royal Challengers Bangalore,59,3,4
9,del,2,ban,Delhi Capitals,64,3,4
9,kol,1,kol,Mumbai Indians,50,2,4
9,kol,2,mum,Kolkata Knight Riders,41,4,3
9,hyd,1,hyd,Kings XI Punjab,77,2,4
9,hyd,2,pun,Sunrisers Hyderabad,44,3,4
9,hyd,1,ban,Rajasthan Royals,62,8,5
9,ban,2,rr,Royal Challengers Bangalore,41,2,4
9,che,1,che,Delhi Capitals,27,3,4
9,che,2,del,Chennai Super Kings,59,4,2
9,mum,1,mum,Sunrisers Hyderabad,44,3,4
9,mum,2,hyd,Mumbai Indians,59,4,3
9,mum,3,hyd,Mumbai Indians,8,3,1
9,mum,4,mum,Sunrisers Hyderabad,9,2,1
9,pun,1,pun,Kolkata Knight Riders,41,4,3
9,pun,2,kol,Kings XI Punjab,62,2,4
9,del,1,rr,Delhi Capitals,30,6,3
9,del,2,del,Rajasthan Royals,46,4,5
9,del,1,hyd,Royal Challengers Bangalore,52,3,3
9,ban,2,ban,Sunrisers Hyderabad,49,5,3
9,pun,1,che,Kings XI Punjab,42,3,4
9,pun,2,pun,Chennai Super Kings,68,2,3
9,mum,1,kol,Mumbai Indians,49,2,5
9,mum,2,mum,Kolkata Knight Riders,46,2,4
9,che,1,che,Mumbai Indians,32,4,5
9,che,2,mum,Chennai Super Kings,44,4,2
9,che,1,hyd,Delhi Capitals,54,3,3
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,del,Sunrisers Hyderabad,55,2,4
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,del,Chennai Super Kings,41,4,3
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,che,Delhi Capitals,42,2,3
9,hyd,1,mum,Chennai Super Kings,45,4,3
9,hyd,2,che,Mumbai Indians,53,3,4
10,hyd,1,mum,Chennai Super Kings,51,4,4
10,Sheikh Zayed Stadium,2,che,Mumbai Indians,37,4,3
10,Sheikh Zayed Stadium,1,del,Kings XI Punjab,23,5,3
10,Dubai International Cricket Stadium,2,pun,Delhi Capitals,35,5,4
10,Dubai International Cricket Stadium,3,pun,Delhi Capitals,2,2,1
10,Dubai International Cricket Stadium,4,del,Kings XI Punjab,3,1,1
10,Dubai International Cricket Stadium,1,ban,Sunrisers Hyderabad,53,2,5
10,Dubai International Cricket Stadium,2,hyd,Royal Challengers Bangalore,48,3,3
10,Dubai International Cricket Stadium,1,rr,Chennai Super Kings,54,3,3
10,Sharjah Cricket Stadium,2,che,Rajasthan Royals,53,2,4
10,Sharjah Cricket Stadium,1,mum,Kolkata Knight Riders,59,3,4
10,Sheikh Zayed Stadium,2,kol,Mumbai Indians,33,4,4
10,Sheikh Zayed Stadium,1,del,Chennai Super Kings,36,2,3
10,Dubai International Cricket Stadium,2,che,Delhi Capitals,34,3,4
10,Dubai International Cricket Stadium,1,pun,Royal Challengers Bangalore,50,2,3
10,Dubai International Cricket Stadium,2,ban,Kings XI Punjab,40,5,3
10,Dubai International Cricket Stadium,1,hyd,Kolkata Knight Riders,40,3,3
10,Sheikh Zayed Stadium,2,kol,Sunrisers Hyderabad,52,4,3
10,Sheikh Zayed Stadium,1,pun,Rajasthan Royals,60,2,3
10,Sharjah Cricket Stadium,2,rr,Kings XI Punjab,69,3,4
10,Sharjah Cricket Stadium,1,kol,Rajasthan Royals,42,3,4
10,Dubai International Cricket Stadium,2,rr,Kolkata Knight Riders,39,4,3
10,Dubai International Cricket Stadium,1,hyd,Delhi Capitals,38,2,4
10,Sheikh Zayed Stadium,2,del,Sunrisers Hyderabad,34,3,3
10,Sheikh Zayed Stadium,1,ban,Mumbai Indians,59,2,4
10,Dubai International Cricket Stadium,2,mum,Royal Challengers Bangalore,35,4,3
10,Dubai International Cricket Stadium,3,mum,Royal Challengers Bangalore,7,2,1
10,Dubai International Cricket Stadium,4,ban,Mumbai Indians,11,2,1
10,Dubai International Cricket Stadium,1,mum,Kings XI Punjab,41,4,4
10,Sheikh Zayed Stadium,2,pun,Mumbai Indians,41,4,4
10,Sheikh Zayed Stadium,1,hyd,Chennai Super Kings,42,3,3
10,Dubai International Cricket Stadium,2,che,Sunrisers Hyderabad,36,4,3
10,Dubai International Cricket Stadium,1,rr,Royal Challengers Bangalore,38,5,4
10,Sheikh Zayed Stadium,2,ban,Rajasthan Royals,50,3,4
10,Sheikh Zayed Stadium,1,del,Kolkata Knight Riders,57,2,4
10,Sharjah Cricket Stadium,2,kol,Delhi Capitals,59,3,5
10,Sharjah Cricket Stadium,1,pun,Chennai Super Kings,46,2,3
10,Dubai International Cricket Stadium,2,che,Kings XI Punjab,60,2,4
10,Dubai International Cricket Stadium,1,mum,Sunrisers Hyderabad,48,4,3
10,Sharjah Cricket Stadium,2,hyd,Mumbai Indians,56,3,4
10,Sharjah Cricket Stadium,1,del,Royal Challengers Bangalore,63,2,4
10,Dubai International Cricket Stadium,2,ban,Delhi Capitals,43,4,5
10,Dubai International Cricket Stadium,1,mum,Rajasthan Royals,57,3,5
10,Sheikh Zayed Stadium,2,rr,Mumbai Indians,31,5,3
10,Sheikh Zayed Stadium,1,kol,Chennai Super Kings,52,3,3
10,Sheikh Zayed Stadium,2,che,Kolkata Knight Riders,54,3,2
10,Sheikh Zayed Stadium,1,hyd,Kings XI Punjab,58,2,3
10,Dubai International Cricket Stadium,2,pun,Sunrisers Hyderabad,45,4,3
10,Dubai International Cricket Stadium,1,del,Rajasthan Royals,51,5,4
10,Sharjah Cricket Stadium,2,rr,Delhi Capitals,41,3,4
10,Sharjah Cricket Stadium,1,kol,Kings XI Punjab,25,4,3
10,Sheikh Zayed Stadium,2,pun,Kolkata Knight Riders,47,2,3
10,Sheikh Zayed Stadium,1,ban,Chennai Super Kings,36,3,3
10,Dubai International Cricket Stadium,2,che,Royal Challengers Bangalore,26,4,4
10,Dubai International Cricket Stadium,1,hyd,Rajasthan Royals,26,3,4
10,Dubai International Cricket Stadium,2,rr,Sunrisers Hyderabad,36,5,3
10,Dubai International Cricket Stadium,1,del,Mumbai Indians,46,4,4
10,Sheikh Zayed Stadium,2,mum,Delhi Capitals,44,2,4
10,Sheikh Zayed Stadium,1,ban,Kolkata Knight Riders,47,2,3
10,Sharjah Cricket Stadium,2,kol,Royal Challengers Bangalore,43,3,4
10,Sharjah Cricket Stadium,1,che,Sunrisers Hyderabad,44,4,3
10,Dubai International Cricket Stadium,2,hyd,Chennai Super Kings,40,4,2
10,Dubai International Cricket Stadium,1,del,Rajasthan Royals,47,4,4
10,Dubai International Cricket Stadium,2,rr,Delhi Capitals,50,4,4
10,Dubai International Cricket Stadium,1,ban,Kings XI Punjab,57,3,4
10,Sharjah Cricket Stadium,2,pun,Royal Challengers Bangalore,56,2,4
10,Sharjah Cricket Stadium,1,kol,Mumbai Indians,33,4,4
10,Sheikh Zayed Stadium,2,mum,Kolkata Knight Riders,51,2,4
10,Sheikh Zayed Stadium,1,che,Delhi Capitals,39,3,4
10,Sharjah Cricket Stadium,2,del,Chennai Super Kings,41,4,3
10,Sharjah Cricket Stadium,1,rr,Royal Challengers Bangalore,52,3,4
10,Dubai International Cricket Stadium,2,ban,Rajasthan Royals,47,3,4
10,Dubai International Cricket Stadium,1,kol,Sunrisers Hyderabad,48,2,3
10,Sheikh Zayed Stadium,2,hyd,Kolkata Knight Riders,58,2,4
10,Sheikh Zayed Stadium,3,hyd,Kolkata Knight Riders,2,2,1
10,Sheikh Zayed Stadium,4,kol,Sunrisers Hyderabad,3,2,1
10,Sheikh Zayed Stadium,1,mum,Kings XI Punjab,43,5,3
10,Dubai International Cricket Stadium,2,pun,Mumbai Indians,51,3,4
10,Dubai International Cricket Stadium,3,pun,Mumbai Indians,5,3,1
10,Dubai International Cricket Stadium,4,mum,Kings XI Punjab,5,2,1
10,Dubai International Cricket Stadium,5,mum,Kings XI Punjab,11,2,1
10,Dubai International Cricket Stadium,6,pun,Mumbai Indians,15,2,1
10,Dubai International Cricket Stadium,1,che,Rajasthan Royals,43,4,4
10,Sheikh Zayed Stadium,2,rr,Chennai Super Kings,31,5,2
10,Sheikh Zayed Stadium,1,del,Kings XI Punjab,53,3,4
10,Dubai International Cricket Stadium,2,pun,Delhi Capitals,57,5,5
10,Dubai International Cricket Stadium,1,kol,Royal Challengers Bangalore,17,6,3
10,Sheikh Zayed Stadium,2,ban,Kolkata Knight Riders,44,2,3
10,Sheikh Zayed Stadium,1,rr,Sunrisers Hyderabad,47,3,3
10,Dubai International Cricket Stadium,2,hyd,Rajasthan Royals,58,4,4
10,Dubai International Cricket Stadium,1,che,Mumbai Indians,24,7,3
10,Sharjah Cricket Stadium,2,mum,Chennai Super Kings,52,2,3
10,Sharjah Cricket Stadium,1,kol,Delhi Capitals,36,4,4
10,Sheikh Zayed Stadium,2,del,Kolkata Knight Riders,36,4,3
10,Sheikh Zayed Stadium,1,pun,Sunrisers Hyderabad,47,3,3
10,Dubai International Cricket Stadium,2,hyd,Kings XI Punjab,52,2,3
10,Dubai International Cricket Stadium,1,mum,Rajasthan Royals,59,3,3
10,Sheikh Zayed Stadium,2,rr,Mumbai Indians,55,4,4
10,Sheikh Zayed Stadium,1,ban,Chennai Super Kings,46,3,4
10,Dubai International Cricket Stadium,2,che,Royal Challengers Bangalore,48,2,4
10,Dubai International Cricket Stadium,1,kol,Kings XI Punjab,54,5,3
10,Sharjah Cricket Stadium,2,pun,Kolkata Knight Riders,36,2,3
10,Sharjah Cricket Stadium,1,hyd,Delhi Capitals,77,2,4
10,Dubai International Cricket Stadium,2,del,Sunrisers Hyderabad,54,4,3
10,Dubai International Cricket Stadium,1,ban,Mumbai Indians,54,2,4
10,Sheikh Zayed Stadium,2,mum,Royal Challengers Bangalore,45,3,4
10,Sheikh Zayed Stadium,1,kol,Chennai Super Kings,48,2,4
10,Dubai International Cricket Stadium,2,che,Kolkata Knight Riders,44,2,5
10,Dubai International Cricket Stadium,1,pun,Rajasthan Royals,53,3,3
10,Sheikh Zayed Stadium,2,rr,Kings XI Punjab,66,3,4
10,Sheikh Zayed Stadium,1,ban,Sunrisers Hyderabad,30,4,3
10,Sharjah Cricket Stadium,2,hyd,Royal Challengers Bangalore,58,3,4
10,Sharjah Cricket Stadium,1,ban,Delhi Capitals,40,3,4
10,Sheikh Zayed Stadium,2,del,Royal Challengers Bangalore,53,3,4
10,Sheikh Zayed Stadium,1,pun,Chennai Super Kings,53,3,4
10,Sheikh Zayed Stadium,2,che,Kings XI Punjab,57,2,4
10,Sheikh Zayed Stadium,1,kol,Rajasthan Royals,55,3,4
10,Dubai International Cricket Stadium,2,rr,Kolkata Knight Riders,41,7,3
10,Dubai International Cricket Stadium,1,del,Mumbai Indians,22,4,3
10,Dubai International Cricket Stadium,2,mum,Delhi Capitals,38,2,4
10,Dubai International Cricket Stadium,1,mum,Sunrisers Hyderabad,48,4,3
10,Sharjah Cricket Stadium,2,hyd,Mumbai Indians,56,2,4
10,Sharjah Cricket Stadium,1,mum,Delhi Capitals,63,3,5
10,Dubai International Cricket Stadium,2,del,Mumbai Indians,32,6,4
10,Dubai International Cricket Stadium,1,ban,Sunrisers Hyderabad,32,4,3
10,Sheikh Zayed Stadium,2,hyd,Royal Challengers Bangalore,48,4,3
10,Sheikh Zayed Stadium,1,del,Sunrisers Hyderabad,65,2,3
10,Sheikh Zayed Stadium,2,hyd,Delhi Capitals,49,5,4
10,Sheikh Zayed Stadium,1,del,Mumbai Indians,41,5,4
10,Dubai International Cricket Stadium,2,mum,Delhi Capitals,61,3,5
11,che,1,mum,Royal Challengers Bangalore,41,3,3
11,che,2,ban,Mumbai Indians,46,4,4
11,mum,1,che,Delhi Capitals,33,4,4
11,mum,2,del,Chennai Super Kings,65,2,3
11,che,1,kol,Sunrisers Hyderabad,50,2,4
11,che,2,hyd,Kolkata Knight Riders,35,4,4
11,mum,1,pun,Rajasthan Royals,46,3,3
11,mum,2,rr,Punjab Kings,59,4,4
11,che,1,mum,Kolkata Knight Riders,42,3,4
11,che,2,kol,Mumbai Indians,45,2,4
11,che,1,ban,Sunrisers Hyderabad,47,3,4
11,che,2,hyd,Royal Challengers Bangalore,50,3,3
11,mum,1,del,Rajasthan Royals,36,5,3
11,mum,2,rr,Delhi Capitals,26,5,3
11,mum,1,pun,Chennai Super Kings,26,6,3
11,mum,2,che,Punjab Kings,32,3,4
11,che,1,mum,Sunrisers Hyderabad,53,2,4
11,che,2,hyd,Mumbai Indians,57,2,4
11,che,1,ban,Kolkata Knight Riders,45,4,4
11,che,2,kol,Royal Challengers Bangalore,57,3,4
11,mum,1,pun,Delhi Capitals,59,2,4
11,mum,2,del,Punjab Kings,62,3,4
11,mum,1,che,Rajasthan Royals,46,3,4
11,mum,2,rr,Chennai Super Kings,45,4,2
11,che,1,mum,Delhi Capitals,55,3,4
11,che,2,del,Mumbai Indians,39,3,4
11,che,1,pun,Sunrisers Hyderabad,32,3,4
11,che,2,hyd,Punjab Kings,50,2,4
11,mum,1,che,Kolkata Knight Riders,54,2,4
11,mum,2,kol,Chennai Super Kings,45,6,3
11,mum,1,rr,Royal Challengers Bangalore,32,5,3
11,mum,2,ban,Rajasthan Royals,59,2,4
11,che,1,mum,Punjab Kings,21,3,3
11,che,2,pun,Mumbai Indians,45,2,4
11,mum,1,kol,Rajasthan Royals,25,2,4
11,mum,2,rr,Kolkata Knight Riders,50,4,4
11,mum,1,che,Royal Challengers Bangalore,51,2,4
11,mum,2,ban,Chennai Super Kings,65,4,3
11,che,1,del,Sunrisers Hyderabad,51,2,4
11,che,2,hyd,Delhi Capitals,56,4,5
11,che,3,hyd,Delhi Capitals,7,2,1
11,che,4,del,Sunrisers Hyderabad,8,2,1
11,ahm,1,pun,Kolkata Knight Riders,37,2,3
11,ahm,2,kol,Punjab Kings,42,5,3
11,ahm,1,ban,Delhi Capitals,36,4,3
11,ahm,2,del,Royal Challengers Bangalore,43,4,3
11,del,1,hyd,Chennai Super Kings,39,3,2
11,del,2,che,Sunrisers Hyderabad,50,2,3
11,del,1,rr,Mumbai Indians,47,2,4
11,del,2,mum,Rajasthan Royals,49,2,4
11,ahm,1,kol,Delhi Capitals,45,3,4
11,ahm,2,del,Kolkata Knight Riders,67,2,5
11,ahm,1,pun,Royal Challengers Bangalore,49,3,3
11,ahm,2,ban,Punjab Kings,35,3,3
11,del,1,che,Mumbai Indians,49,3,3
11,del,2,mum,Chennai Super Kings,58,2,3
